Name,Year,Letterboxd URI,Rating,Watched Date
The Vow,2012,https://boxd.it/4yhh13,3.0,2023-07-21
Remember Me,2010,https://boxd.it/4yiXMR,3.5,2023-07-21
Gehraiyaan,2022,https://boxd.it/4yVCZj,3.0,2023-07-21
I Care a Lot,2020,https://boxd.it/4HQBTP,3.5,2023-08-03
Like Crazy,2011,https://boxd.it/4HQD0H,2.0,2023-08-03
Extraction 2,2023,https://boxd.it/4HQDN5,2.0,2023-08-03
A Long Way Down,2014,https://boxd.it/4HQBbN,2.5,2023-08-10
Return to Sender,2015,https://boxd.it/4HQCwR,3.5,2023-08-11
Delighted,2016,https://boxd.it/4JAhb5,0.5,2023-08-22
Mean Girls,2004,https://boxd.it/4ZLdWR,3.0,2023-10-06
Ford v Ferrari,2019,https://boxd.it/4ZLeFx,4.0,2023-10-12
Gran Turismo,2023,https://boxd.it/4ZLbHF,3.5,2023-10-13
"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/4ZLcht,3.0,2023-10-13
One Flew Over the Cuckoo's Nest,1975,https://boxd.it/50L8cD,4.0,2023-10-17
The Music Man,2007,https://boxd.it/52jNvj,3.5,2023-10-18
When Harry Met Sally...,1989,https://boxd.it/543njR,3.0,2023-10-27
The Big Short,2015,https://boxd.it/5S9U5P,4.0,2024-01-27
A Nice Girl Like You,2020,https://boxd.it/5MYbUL,0.5,2024-02-08
Almost Famous,2000,https://boxd.it/5S9XuN,2.5,2024-02-09
Love at First Sight,2023,https://boxd.it/5R0Di1,3.0,2024-02-10
Bride Wars,2009,https://boxd.it/5S9Yrv,3.0,2024-02-10
May December,2023,https://boxd.it/5Sa0Qx,1.5,2024-02-11
Love at First Sight,2023,https://boxd.it/5Sa1Al,3.0,2024-02-11
13 Going on 30,2004,https://boxd.it/5Sa1YR,2.0,2024-02-15
Legally Blonde,2001,https://boxd.it/5R0aLN,2.0,2024-02-17
White Boy Rick,2018,https://boxd.it/5RBhSv,2.5,2024-02-18
Society of the Snow,2023,https://boxd.it/5UKPzd,3.5,2024-02-23
Under the Shadow,2016,https://boxd.it/5UKO9t,2.5,2024-02-24
House of Gucci,2021,https://boxd.it/5UKOLd,3.5,2024-02-24
Promising Young Woman,2020,https://boxd.it/5X485R,4.0,2024-03-01
Vacation,2015,https://boxd.it/60jALX,2.0,2024-03-08
Oppenheimer,2023,https://boxd.it/62qdpL,3.0,2024-03-13
Drive-Away Dolls,2024,https://boxd.it/66JIMb,2.0,2024-03-21
Anyone But You,2023,https://boxd.it/66OdJP,2.0,2024-03-22
On My Skin,2018,https://boxd.it/67aw0j,3.0,2024-03-23
Wind River,2017,https://boxd.it/67lOhJ,4.0,2024-03-23
You Should Have Left,2020,https://boxd.it/69i8Kh,0.5,2024-03-26
Eileen,2023,https://boxd.it/69kY8X,0.5,2024-03-28
The Man from U.N.C.L.E.,2015,https://boxd.it/6aG3rB,3.0,2024-03-30
This Is the End,2013,https://boxd.it/6b63dL,2.0,2024-03-31
Lost Girls,2020,https://boxd.it/6dA4GR,3.5,2024-04-06
Dune,2021,https://boxd.it/6e3uOP,3.5,2024-04-07
Dune: Part Two,2024,https://boxd.it/6esaOF,3.5,2024-04-07
Knocked Up,2007,https://boxd.it/6fEMPp,2.5,2024-04-08
Just Go with It,2011,https://boxd.it/6fEMu7,3.0,2024-04-09
The Longest Ride,2015,https://boxd.it/6gm6Gj,2.5,2024-04-12
Ad Astra,2019,https://boxd.it/6mAHAT,2.0,2024-04-28
Bones and All,2022,https://boxd.it/6sZj23,0.5,2024-05-12
The Spy Who Dumped Me,2018,https://boxd.it/6sZjbz,3.0,2024-05-12
Challengers,2024,https://boxd.it/6BKgrZ,4.0,2024-06-02
The Intern,2015,https://boxd.it/6GoeI1,1.5,2024-06-16
The Break-Up,2006,https://boxd.it/6IKQpX,3.0,2024-06-18
Two Sisters,2009,https://boxd.it/6Oj1yf,1.0,2024-07-04
You and Me,2011,https://boxd.it/6Oj2wz,0.5,2024-07-04
La Chimera,2023,https://boxd.it/8Gj80N,3.5,2025-01-31
Emilia Pérez,2024,https://boxd.it/8Ht8Tx,2.0,2025-02-01
Anora,2024,https://boxd.it/8IgRP9,3.0,2025-02-02
Something from Tiffany's,2022,https://boxd.it/8LkpGX,2.0,2025-02-06
The Gap,2014,https://boxd.it/8Lkrld,2.0,2025-02-07
Memory,2023,https://boxd.it/8LJNMb,3.0,2025-02-08
The Hand of God,2021,https://boxd.it/8LYmrP,3.5,2025-02-08
Saltburn,2023,https://boxd.it/8QGVTt,4.0,2025-02-16
My Fault: London,2025,https://boxd.it/8RqptZ,0.5,2025-02-16
Beautiful Disaster,2023,https://boxd.it/8SMQ5X,1.0,2025-02-18
Wolfs,2024,https://boxd.it/8TX6zD,3.0,2025-02-20
Cherry,2021,https://boxd.it/8VfVpJ,3.0,2025-02-21
Parthenope,2024,https://boxd.it/8VzDLd,4.0,2025-02-23
My Old Ass,2024,https://boxd.it/93mW99,2.0,2025-03-06
A Complete Unknown,2024,https://boxd.it/9CRWPr,2.5,2025-03-08
The Brutalist,2024,https://boxd.it/94F2gb,3.5,2025-03-09
Triangle of Sadness,2022,https://boxd.it/9CQw27,2.5,2025-03-10
The Gorge,2025,https://boxd.it/98SOqb,3.0,2025-03-14
Without Her,2022,https://boxd.it/9CQsr3,2.0,2025-04-04
A Relic of the South,2024,https://boxd.it/9CQtvl,2.5,2025-04-07
Entourage,2015,https://boxd.it/9CQcRf,2.5,2025-04-12
Game Night,2018,https://boxd.it/9CQeGX,2.0,2025-04-13
Bad Teacher,2011,https://boxd.it/9CQhk1,3.0,2025-04-17
EuroTrip,2004,https://boxd.it/9CQj2j,2.0,2025-05-03
Finding You,2021,https://boxd.it/9CQprz,2.5,2025-05-04
Vanilla Sky,2001,https://boxd.it/9F2beX,3.0,2025-05-10
Perfect Days,2023,https://boxd.it/9LEh0x,3.5,2025-05-22
The Great Beauty,2013,https://boxd.it/9NxC3B,3.5,2025-05-25
Mickey 17,2025,https://boxd.it/9NQaDT,3.0,2025-05-25
Leap Year,2010,https://boxd.it/9R27vD,3.0,2025-05-30
Slumdog Millionaire,2008,https://boxd.it/ah2cUn,3.0,2025-07-05
Big Fish,2003,https://boxd.it/anw1DJ,3.5,2025-07-17
Materialists,2025,https://boxd.it/audh4F,2.0,2025-07-25
Yes Man,2008,https://boxd.it/aCKg7r,3.0,2025-08-01
Fifty Shades of Grey,2015,https://boxd.it/aCKqpP,0.5,2025-08-02
Downsizing,2017,https://boxd.it/aCKgY1,2.0,2025-08-03
The Girl on the Train,2016,https://boxd.it/aCKi3r,3.5,2025-08-05
Civil War,2024,https://boxd.it/aGAlpB,4.0,2025-08-10
Into the Wild,2007,https://boxd.it/aI7OWf,2.5,2025-08-11
My Oxford Year,2025,https://boxd.it/aI7PWP,0.5,2025-08-12
Persepolis,2007,https://boxd.it/aJYBAP,3.5,2025-08-14
Meet Cute,2022,https://boxd.it/beEdzd,0.5,2025-10-01
He's Just Not That Into You,2009,https://boxd.it/bY6owF,2.5,2025-12-07
Annie Hall,1977,https://boxd.it/ccjZe1,3.0,2025-12-08
"Crazy, Stupid, Love.",2011,https://boxd.it/cbffW5,2.5,2025-12-20
Match Point,2005,https://boxd.it/cck3y5,3.0,2025-12-23
Wedding Crashers,2005,https://boxd.it/cfKMP5,3.0,2025-12-26
Uncut Gems,2019,https://boxd.it/chrLF9,3.5,2025-12-28
Ask Me If I'm Happy,2000,https://boxd.it/cmZW6H,4.0,2026-01-01
One Battle After Another,2025,https://boxd.it/cWoh1V,3.0,2026-01-31
Bugonia,2025,https://boxd.it/d2ZKyd,2.5,2026-02-06
No Other Choice,2025,https://boxd.it/d3aVeF,3.5,2026-02-08
Hamnet,2025,https://boxd.it/dchYR1,4.0,2026-02-18
Crime 101,2026,https://boxd.it/dChfOv,3.0,2026-03-20
Sinners,2025,https://boxd.it/dCszq1,1.0,2026-03-21
A Girl Walks Home Alone at Night,2014,https://boxd.it/dIRvsh,2.0,2026-03-28
Die My Love,2025,https://boxd.it/dKZmXz,3.5,2026-03-29
How to Make Millions Before Grandma Dies,2024,https://boxd.it/dPHMQt,4.0,2026-04-04
Marty Supreme,2025,https://boxd.it/dS0Aet,3.0,2026-04-06
