Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,Review,Genre,Country
2021-08-02,Adrift,2018,https://boxd.it/22kAyd,4.0,,,2021-08-01,"If I could live again, I would live like that.","Thriller, Romance, Adventure","Iceland, United States of America"
2021-08-08,I Still Believe,2020,https://boxd.it/23dxcX,0.5,,,2021-08-06,"Camp just wanted to introduce himself, he didn’t want to really talk about his ex wife’s life.
If he would we would have known what’s the deal with that coat.","Music, Drama, Romance",United States of America
2021-08-08,Looks That Kill,2020,https://boxd.it/23dxpn,0.5,,,2021-08-06,Wtf man. Awwwwwfull.,"Comedy, Romance, Drama",United States of America
2021-08-21,Malevolent,2018,https://boxd.it/2574Ll,3.0,,,2021-08-21,Shit was scary.,Horror,United Kingdom
2021-09-04,Vicky Cristina Barcelona,2008,https://boxd.it/278NzJ,3.0,,,2021-09-03,,"Drama, Romance","Spain, United States of America"
2022-03-28,Deep Water,2022,https://boxd.it/2HKF6z,2.0,,,2022-03-27,,"Drama, Mystery, Thriller",United States of America
2022-03-28,Spider-Man: No Way Home,2021,https://boxd.it/2HKFsF,2.0,,,2022-03-28,Rewatched wrong spider man movies before watching this.,"Action, Adventure, Science Fiction",United States of America
2022-04-15,The Eyes of Tammy Faye,2021,https://boxd.it/2KKU1V,4.0,,,2022-04-14,Jessica🤌🏿,"Drama, History",United States of America
2022-09-09,Elvis,2022,https://boxd.it/3cX8hp,3.0,,,2022-08-26,,"Music, History, Drama","Australia, United States of America"
2022-09-09,Malcolm & Marie,2021,https://boxd.it/3d3F3n,4.0,,,2022-09-08,,"Drama, Romance",United States of America
2023-01-21,The Menu,2022,https://boxd.it/3JB26N,3.0,,,2023-01-19,,"Comedy, Horror",United States of America
2023-01-21,The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/3JB3bJ,1.5,,,2023-01-19,-.-,"Comedy, Science Fiction, Adventure",United States of America
2023-02-09,Queen of the Desert,2015,https://boxd.it/3Pxv4n,0.5,,,2023-02-07,"Stupid 
They don’t know shit about middle east","Drama, Adventure, History","Morocco, United States of America"
2023-02-11,Babylon,2022,https://boxd.it/3Q6qw7,3.5,,,2023-02-11,My new favorite.,"Drama, Comedy",United States of America
2023-04-13,Breakfast at Tiffany's,1961,https://boxd.it/470Y2h,3.0,,,2023-02-11,,"Comedy, Romance, Drama",United States of America
2023-04-13,Puss in Boots: The Last Wish,2022,https://boxd.it/470dlh,2.0,,,2023-03-16,,"Animation, Adventure, Fantasy, Comedy, Family",United States of America
2023-04-13,Bullet Train,2022,https://boxd.it/470fq9,3.0,,,2023-03-27,,"Action, Comedy, Thriller",United States of America
2023-04-13,The Age of Adaline,2015,https://boxd.it/470clF,3.0,,,2023-03-30,,"Romance, Fantasy, Drama",United States of America
2023-04-13,The Unbearable Weight of Massive Talent,2022,https://boxd.it/470bUT,3.0,,,2023-04-06,,"Action, Comedy, Crime",United States of America
2023-04-13,Goliyon Ki Raasleela Ram-Leela,2013,https://boxd.it/4705RT,4.0,,,2023-04-07,,"Drama, Romance",India
2023-04-21,Drive,2011,https://boxd.it/492RZ9,3.5,,,2023-04-20,:(((((,"Drama, Thriller, Crime",United States of America
2023-04-21,Don't Worry Darling,2022,https://boxd.it/492SyN,3.0,,,2023-04-20,"Jack, you are an asshole dumbass.","Science Fiction, Mystery, Thriller",United States of America
2023-06-21,The Amazing Spider-Man,2012,https://boxd.it/4p2njB,3.0,,,2023-05-09,,"Action, Adventure, Science Fiction",United States of America
2023-06-21,The Amazing Spider-Man 2,2014,https://boxd.it/4p2nqR,3.0,,,2023-05-13,,"Action, Adventure, Science Fiction",United States of America
2023-05-22,Noel,2004,https://boxd.it/4hidJJ,2.5,,,2023-05-18,Just the dance scene,Drama,"Canada, United States of America"
